Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,postAd_lblCarMake3.0,the car brand label,xpath,"//div[contains(text(),'Marca') or contains(text(),'Make')]"
All,All,Label,postAd_lblCarMakeRequired3.0,the car brand status,xpath,"//div[contains(text(),'Marca') or contains(text(),'Make')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarMakeValidTrue3.0,the car brand status,xpath,"//div[contains(text(),'Marca') or contains(text(),'Make')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarMakeValidFalse3.0,the car brand status,xpath,"//div[contains(text(),'Marca') or contains(text(),'Make')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfCarMake3.0,the car brand,xpath,"//div[contains(text(),'Marca') or contains(text(),'Make')]/../..//select"
All,All,Label,postAd_lblCarModel,the car model select list,xpath,"//select[@name='CarModel' or @name='AlmVehicleModel']"
All,All,Label,postAd_lblCarModel3.0,the car model label,xpath,"//div[contains(text(),'Modelo') or contains(text(),'Model')]"
All,All,Label,postAd_lblCarModelRequired3.0,the car model status,xpath,"//div[contains(text(),'Modelo') or contains(text(),'Model')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarModelValidTrue3.0,the car model status,xpath,"//div[contains(text(),'Modelo') or contains(text(),'Model')]/../div[@class='status']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCarModelValidFalse3.0,the car model status,xpath,"//div[contains(text(),'Modelo') or contains(text(),'Model')]/../div[@class='status']/span[@class='icon-valid-false']"
All,All,TextField,postAd_txfCarModel3.0,the car model,xpath,"//div[contains(text(),'Modelo') or contains(text(),'Model')]/../..//select"
All,All,TextField,postAd_txfCarYear,the textfield of car year,xpath,"//div[@data-field='CarYear']//input[@class]"
All,All,Label,postAd_lblCarYear3.0,the car year label,xpath,"//div[contains(text(),'Año') or contains(text(),'Year')]"
All,All,Label,postAd_lblCarYearRequired3.0,the car year status,xpath,"//div[contains(text(),'Año') or contains(text(),'Year')]/../div[@class='status']/span[@class='required']"
All,All,Label,postAd_lblCarYearValidTrue3.0,the car year status,xpath,"//div[contains(text(),'Año') or contains(text(),'Year')]/../div[@class='status']/span[@class='icon-valid-true']"
