Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,All,Button,srp_btnBedroomsDisplayed,displayed attribute for Bedrooms attribute on SRP,xpath,"//div[contains(text(),'Recámara(s)')]/..//div[contains(@class,'inputWrapper fieldContain')]"
mx_vns,All,Button,srp_btnBedroomsDisplayedMore,more displayed attribute for Bedrooms attribute on SRP,xpath,"//div[contains(text(),'Recámara(s)')]/..//div[@class='inputWrapper fieldContain show-more-filter']"
All,All,TextField,srp_txfSortByText,text for sort by attribute on SRP,xpath,"//div[contains(text(),'Ordenar por') or contains(text(),'Sort By')]"
mx_vns,All,Button,srp_btnSortBySelected,selected field for sort by attribute on SRP,xpath,"//div[contains(text(),'Ordenar por')]/..//div[contains(@class,'fieldbg')]//span[@class='allowedValue innerText']"
za,All,Button,srp_btnSortBySelected,selected field for sort by attribute on SRP,xpath,"//div[contains(text(),'Sort By')]/..//div[contains(@class,'fieldbg')]//span[@class='allowedValue innerText']"
za,All,Button,srp_btnSortByHighLow,price high to low for sort by attribute on SRP,xpath,"//div[contains(text(),'Sort By')]/..//span[contains(text(),'Price High-Low')]"
mx_vns,All,Button,srp_btnSortByHighLow,price high to low for sort by attribute on SRP,xpath,"//input[@name='sort']/..//span[contains(text(),'Precios Altos')]"
All,All,Button,srp_btnSubmitFilter,button to submit filter on SRP,xpath,"//div[@class='filterButton']//input[@type='submit']"
za,All,Label,srp_lblMake_audi,dropdown list for cars make,xpath,"//div[@class='filterAttributeContainer']//select[@name='attr.CarMake']/option[contains(@value,'audi')]"
za,All,Label,srp_lblModel_a8,dropdown list for cars model,xpath,"//div[@class='filterAttributeContainer']//select[@name='attr.CarModel']//option[contains(@value,'a8')]"
mx_vns,All,Label,srp_lblMake_audi,dropdown list for cars make,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleBrand']/option[contains(@value,'audi')]"
mx_vns,All,Label,srp_lblModel_a8,dropdown list for cars model,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleModel']//option[contains(@value,'a8')]"
mx_vns,All,Label,srp_lblMake_alpino,dropdown list for cars make,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleBrand']/option[contains(@value,'alpino')]"
mx_vns,All,Label,srp_lblModel_125,dropdown list for cars model,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleModel']//option[contains(@value,'125')]"
za,All,Label,srp_lblMake_bmw,dropdown list for cars make,xpath,"//div[@class='filterAttributeContainer']//select[@name='attr.CarMake']/option[contains(@value,'bmw')]"
za,All,Label,srp_lblModel_i8,dropdown list for cars model,xpath,"//div[@class='filterAttributeContainer']//select[@name='attr.CarModel']//option[contains(@value,'i8')]"
mx_vns,All,Label,srp_lblMake_bmw,dropdown list for cars make,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleBrand']/option[contains(@value,'bmw')]"
mx_vns,All,Label,srp_lblModel_i8,dropdown list for cars model,xpath,"//div[contains(@class,'filterAttributeContainer')]//select[@name='attr.AlmVehicleModel']//option[contains(@value,'f650')]"
za,All,Label,srp_lblMakeChips,chips cars make ,xpath,"//div[@data-hiddenkey='attr.CarMake']//span"
za,All,Label,srp_lblModelChips,chips for cars model,xpath,"//div[@data-hiddenkey='attr.CarModel']//span"
mx_vns,All,Label,srp_lblMakeChips,chips cars make ,xpath,"//div[@data-hiddenkey='attr.AlmVehicleBrand']//span"
mx_vns,All,Label,srp_lblModelChips,chips for cars model,xpath,"//div[@data-hiddenkey='attr.AlmVehicleModel']//span"
mx_vns,All,Label,srp_lblBedroomChips,chips for bedroom,xpath,"//div[@data-hiddenkey='attr.NumberBedrooms']//span"
mx_vns,All,Label,srp_lblBathroomChips,chips for bathroom,xpath,"//div[@data-hiddenkey='attr.NumberBathrooms']//span"
za,All,Button,srp_btnSortByLowHigh,price low to high for sort by attribute on SRP,xpath,"//div[contains(text(),'Sort By')]/..//span[contains(text(),'Price Low-High')]"
mx_vns,All,Button,srp_btnSortByLowHigh,price low to high for sort by attribute on SRP,xpath,"//input[@name='sort']/..//span[contains(text(),'Precios Bajos')]"
mx_vns,All,Button,srp_btnSortByLowHighSelected,price low to high for sort by attribute on SRP,xpath,"//div[contains(text(),'Ordenar por')]/..//span[@class='allowedValue innerText' and contains(text(),'Precios Bajos')]"
All,All,TextField,srp_txfYearText,text for year attribute on SRP,xpath,"//label[@for='CarYear']"
All,All,TextField,srp_txfFilterByMinYear,filter by min-year,xpath,"//input[@id='attr.CarYearMin']"
All,All,TextField,srp_txfFilterByMaxYear,filter by max-year,xpath,"//input[@id='attr.CarYearMax']"
All,All,TextField,srp_txfFilterByL1Cat,filter by L1 category,xpath,"//div[@id='category-selection']/select[@id='L1Category']"
All,All,TextField,srp_txfFilterByL2Cat,filter by L2 category,xpath,"//div[@id='category-selection']/select[@id='L2Category']"
All,All,TextField,srp_txfFilterByL3Cat,filter by L3 category,xpath,"//div[@id='category-selection']/select[@id='L3Category']"
All,All,TextField,srp_txfSelectedYear,filter show chosen year,xpath,"//div[@data-hiddenkey='attr.CarYear']/span"
All,All,TextField,srp_txfSelectedKilometers,filter show chosen Kilometers,xpath,"//div[@data-hiddenkey='attr.CarMileageInKms']/span"
All,All,TextField,srp_txfSelectedPrice,filter show chosen price,xpath,"//div[@data-hiddenkey='attr.Price.amount']/span"
All,All,TextField,srp_txfSelected4x4,filter show chosen 4x4 for CARROCERÍA in filter,xpath,"//div[@data-hiddenkey='attr.CarBodyType']/span"
All,All,TextField,srp_txfFilter4x4,4x4 for CARROCERÍA in filter,xpath,"//div[@id='filter-attribute']//input[@name='multi$attr.CarBodyType']/..//span[contains(text(),'4 x 4')]"
All,All,TextField,srp_txfSelectedModel,filter show chosen model Mx_5 for Modelo in filter,xpath,"//div[@data-hiddenkey='attr.AlmVehicleModel']/span"
All,All,TextField,srp_txfFilterByMinPrice,filter by min-price,xpath,"//input[@id='attr.Price.amountMin']"
All,All,TextField,srp_txfFilterByMaxPrice,filter by max-price,xpath,"//input[@id='attr.Price.amountMax']"
All,All,TextField,srp_txfFilterByMinKilometers,filter by min-kilometers,xpath,"//input[@id='attr.CarMileageInKmsMin']"
All,All,TextField,srp_txfFilterByMaxKilometers,filter by max-kilometers,xpath,"//input[@id='attr.CarMileageInKmsMax']"
All,All,TextField,srp_txfMinPriceGreyOut,show min-price grey out,xpath,"//input[@class='range pricerange inputMin grayout']"
All,All,TextField,srp_txfMaxPriceGreyOut,show max-price grey out,xpath,"//input[@class='range pricerange inputMax grayout']"
All,All,Button,srp_btnSortByMostRecent,most recent for sort by attribute on SRP,xpath,"//span[text()='Más Recientes' or text()='Most Recent']"
All,All,Button,srp_btnSortByMostRecentSelected,most recent for sort by attribute on SRP,xpath,"//span[@class='allowedValue innerText' and text()='Más Recientes' or text()='Most Recent']"
All,landscape,Button,srp_btnBack,button to go back to previous page on SRP,xpath,"//div[@class='header-back']//span[@class='text-back' and (text()='Volver' or text()='Back')]"
All,portrait,Button,srp_btnBack,button to go back to previous page on SRP,xpath,"//div[@class='header-back']//span[@class='icon-back-other']"
All,landscape,Button,srp_btnViewMoreSubCat,view more sub categories on landscape,xpath,"//div[@class='sub-navigation']//*[@class='show-more']"
All,landscape,Button,srp_btnViewLessSubCat,view less sub categories on landscape,xpath,"//div[@class='sub-navigation']//*[@class='show-less']"
All,landscape,TextField,srp_txfFirstJobCat,first sub category under job on landscape,xpath,"//div[@class='sub-navigation']//span[text()='Accounting & Finance jobs']"
All,landscape,TextField,srp_txfLastJobCat,first sub category under job on landscape,xpath,"//div[@class='sub-navigation']//span[text()='General jobs']"
All,All,Button,srp_btnCarouselNext,click to next ad in SRP Carousel part,xpath,"//button[@class='slick-next slick-arrow icon-combined-shape']"
